service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type,date,day_name,is_weekend,price,is_shared_table,is_walkaway,is_queued,wait_min,meal_min,zone
1,1.0,,,6,2026-03-25 06:42:00,2026-03-25 07:00:00,In-house,2026-03-13,Friday,False,159,False,False,False,,18.0,Indoor
2,2.0,,,2,2026-03-25 06:44:00,2026-03-25 07:10:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,26.0,Indoor
3,2.0,,,7A,2026-03-25 07:05:00,2026-03-25 08:08:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,63.0,Outdoor
4,1.0,,,8A,2026-03-25 07:20:00,2026-03-25 08:18:00,In-house,2026-03-13,Friday,False,159,False,False,False,,58.0,Outdoor
5,1.0,,,10A,2026-03-25 07:25:00,2026-03-25 07:45:00,In-house,2026-03-13,Friday,False,159,False,False,False,,20.0,Outdoor
6,1.0,,,8B,2026-03-25 07:28:00,2026-03-25 08:20:00,In-house,2026-03-13,Friday,False,159,False,False,False,,52.0,Outdoor
7,1.0,,,9,2026-03-25 07:33:00,2026-03-25 08:05:00,In-house,2026-03-13,Friday,False,159,False,False,False,,32.0,Outdoor
8,5.0,,,4,2026-03-25 07:42:00,2026-03-25 08:40:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,58.0,Indoor
9,4.0,,,11,2026-03-25 07:48:00,2026-03-25 08:21:00,In-house,2026-03-13,Friday,False,159,False,False,False,,33.0,Outdoor
10,2.0,,,16,2026-03-25 07:48:00,2026-03-25 08:35:00,In-house,2026-03-13,Friday,False,159,False,False,False,,47.0,No Table
11,2.0,,,6,2026-03-25 07:50:00,2026-03-25 08:48:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,58.0,Indoor
12,1.0,,,7B,2026-03-25 07:56:00,2026-03-25 08:15:00,In-house,2026-03-13,Friday,False,159,False,False,False,,19.0,Outdoor
13,1.0,,,10A,2026-03-25 07:59:00,2026-03-25 08:35:00,In-house,2026-03-13,Friday,False,159,False,False,False,,36.0,Outdoor
14,1.0,,,1,2026-03-25 08:00:00,2026-03-25 09:19:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,79.0,Indoor
15,1.0,,,8C,2026-03-25 08:03:00,2026-03-25 08:27:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,24.0,Outdoor
16,2.0,,,12,2026-03-25 08:05:00,2026-03-25 08:25:00,In-house,2026-03-13,Friday,False,159,False,False,False,,20.0,Outdoor
17,1.0,,,14,2026-03-25 08:14:00,2026-03-25 09:03:00,In-house,2026-03-13,Friday,False,159,False,False,False,,49.0,Outdoor
18,2.0,,,7A,2026-03-25 08:15:00,2026-03-25 09:30:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,75.0,Outdoor
19,1.0,,,15A,2026-03-25 08:16:00,2026-03-25 09:05:00,In-house,2026-03-13,Friday,False,159,False,False,False,,49.0,Outdoor
20,1.0,,,10B,2026-03-25 08:19:00,2026-03-25 08:35:00,In-house,2026-03-13,Friday,False,159,False,False,False,,16.0,Outdoor
21,4.0,,,3,2026-03-25 08:24:00,2026-03-25 10:46:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,142.0,Indoor
22,2.0,,,5,2026-03-25 08:25:00,2026-03-25 09:22:00,In-house,2026-03-13,Friday,False,159,False,False,False,,57.0,Indoor
23,2.0,,,2,2026-03-25 08:25:00,2026-03-25 10:12:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,107.0,Indoor
24,1.0,,,8A,2026-03-25 08:33:00,2026-03-25 09:30:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,57.0,Outdoor
25,1.0,,,11A,2026-03-25 08:41:00,2026-03-25 09:25:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,44.0,Outdoor
26,1.0,,,16,2026-03-25 08:43:00,2026-03-25 09:35:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,52.0,No Table
27,1.0,,,12,2026-03-25 08:47:00,2026-03-25 09:18:00,In-house,2026-03-13,Friday,False,159,False,False,False,,31.0,Outdoor
28,2.0,,,10A,2026-03-25 08:53:00,2026-03-25 09:28:00,In-house,2026-03-13,Friday,False,159,False,False,False,,35.0,Outdoor
29,1.0,,,7B,2026-03-25 08:53:00,2026-03-25 09:13:00,In-house,2026-03-13,Friday,False,159,False,False,False,,20.0,Outdoor
30,3.0,,,6,2026-03-25 09:00:00,2026-03-25 09:33:00,In-house,2026-03-13,Friday,False,159,False,False,False,,33.0,Indoor
31,2.0,,,4,2026-03-25 09:05:00,2026-03-25 10:00:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,55.0,Indoor
32,2.0,,,8B,2026-03-25 09:05:00,2026-03-25 09:39:00,In-house,2026-03-13,Friday,False,159,False,False,False,,34.0,Outdoor
33,2.0,,,15A,2026-03-25 09:07:00,2026-03-25 10:07:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,60.0,Outdoor
34,2.0,,,8A,2026-03-25 09:08:00,2026-03-25 10:09:00,In-house,2026-03-13,Friday,False,159,False,False,False,,61.0,Outdoor
35,2.0,,,8,2026-03-25 09:16:00,2026-03-25 10:06:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,50.0,Outdoor
36,1.0,,,12,2026-03-25 09:23:00,2026-03-25 09:57:00,In-house,2026-03-13,Friday,False,159,False,False,False,,34.0,Outdoor
37,1.0,,,7C,2026-03-25 08:28:00,2026-03-25 09:30:00,In-house,2026-03-13,Friday,False,159,False,False,False,,62.0,Outdoor
38,1.0,,,11A,2026-03-25 09:30:00,2026-03-25 10:05:00,In-house,2026-03-13,Friday,False,159,False,False,False,,35.0,Outdoor
39,3.0,,,1,2026-03-25 09:36:00,2026-03-25 10:50:00,In-house,2026-03-13,Friday,False,159,False,False,False,,74.0,Indoor
40,2.0,,,5,2026-03-25 09:34:00,2026-03-25 10:40:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,66.0,Indoor
41,2.0,,,6,2026-03-25 09:42:00,2026-03-25 10:30:00,In-house,2026-03-13,Friday,False,159,False,False,False,,48.0,Indoor
42,1.0,,,7A,2026-03-25 09:53:00,2026-03-25 11:00:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,67.0,Outdoor
43,2.0,,,16,2026-03-25 09:55:00,2026-03-25 10:34:00,In-house,2026-03-13,Friday,False,159,False,False,False,,39.0,No Table
44,2.0,,,7B,2026-03-25 10:03:00,2026-03-25 10:35:00,In-house,2026-03-13,Friday,False,159,False,False,False,,32.0,Outdoor
45,2.0,,,12,2026-03-25 10:05:00,2026-03-25 11:06:00,In-house,2026-03-13,Friday,False,159,False,False,False,,61.0,Outdoor
46,2.0,,,10A,2026-03-25 10:08:00,2026-03-25 10:50:00,In-house,2026-03-13,Friday,False,159,False,False,False,,42.0,Outdoor
47,2.0,,,8B,2026-03-25 10:10:00,2026-03-25 11:10:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,60.0,Outdoor
48,2.0,,,4,2026-03-25 10:20:00,2026-03-25 10:57:00,In-house,2026-03-13,Friday,False,159,False,False,False,,37.0,Indoor
49,2.0,,,2,2026-03-25 10:32:00,2026-03-25 11:00:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,28.0,Indoor
50,2.0,,,6,2026-03-25 10:35:00,2026-03-25 11:20:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,45.0,Indoor
51,2.0,,,5,2026-03-25 10:45:00,2026-03-25 11:27:00,In-house,2026-03-13,Friday,False,159,False,False,False,,42.0,Indoor
52,2.0,,,9,2026-03-25 10:53:00,2026-03-25 11:57:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,64.0,Outdoor
53,2.0,,,1,2026-03-25 10:58:00,2026-03-25 11:57:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,59.0,Indoor
54,2.0,,,4,2026-03-25 11:00:00,2026-03-25 12:03:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,63.0,Indoor
55,2.0,,,16,2026-03-25 11:00:00,2026-03-25 11:45:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,45.0,No Table
56,2.0,,,3,2026-03-25 11:15:00,2026-03-25 11:43:00,In-house,2026-03-13,Friday,False,159,False,False,False,,28.0,Indoor
57,2.0,,,2,2026-03-25 11:16:00,2026-03-25 12:00:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,44.0,Indoor
1,1.0,,,5B,2026-03-25 06:29:00,2026-03-25 10:14:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,225.0,Indoor
2,2.0,,,7A,2026-03-25 06:32:00,2026-03-25 08:02:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,90.0,Outdoor
3,1.0,,,1A,2026-03-25 06:33:00,2026-03-25 07:47:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,74.0,Indoor
4,4.0,,,4B,2026-03-25 06:33:00,2026-03-25 08:09:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,96.0,Indoor
5,2.0,,,16,2026-03-25 06:36:00,2026-03-25 07:45:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,69.0,No Table
6,1.0,,,3,2026-03-25 06:44:00,2026-03-25 07:16:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,32.0,Indoor
7,1.0,,,6,2026-03-25 06:44:00,2026-03-25 08:27:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,103.0,Indoor
8,1.0,,,11,2026-03-25 06:44:00,2026-03-25 07:48:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,64.0,Outdoor
9,2.0,,,4A,2026-03-25 06:48:00,2026-03-25 07:50:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,62.0,Indoor
10,1.0,2026-03-25 07:07:00,2026-03-25 07:15:00,3B,2026-03-25 07:17:00,2026-03-25 09:26:00,Walk-in,2026-03-14,Saturday,True,199,False,False,True,8.0,129.0,Indoor
11,1.0,,,11,2026-03-25 07:08:00,2026-03-25 07:50:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,42.0,Outdoor
12,2.0,,,8B,2026-03-25 07:15:00,2026-03-25 08:27:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,72.0,Outdoor
13,2.0,,,8C,2026-03-25 07:25:00,2026-03-25 08:27:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,62.0,Outdoor
14,1.0,,,8A,2026-03-25 07:26:00,2026-03-25 08:36:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,70.0,Outdoor
15,2.0,,,7B,2026-03-25 07:28:00,2026-03-25 08:19:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,51.0,Outdoor
16,4.0,,,15,2026-03-25 07:29:00,2026-03-25 08:38:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,69.0,Outdoor
17,2.0,,,9A,2026-03-25 07:35:00,2026-03-25 08:07:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,32.0,Outdoor
18,2.0,,,14,2026-03-25 07:38:00,2026-03-25 08:30:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,52.0,Outdoor
19,2.0,,,12,2026-03-25 07:40:00,2026-03-25 09:31:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,111.0,Outdoor
20,1.0,,,7C,2026-03-25 07:47:00,2026-03-25 08:13:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,26.0,Outdoor
21,2.0,,,16,2026-03-25 07:49:00,2026-03-25 08:12:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,23.0,No Table
22,3.0,,,11,2026-03-25 07:51:00,2026-03-25 10:15:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,144.0,Outdoor
23,1.0,,,1A,2026-03-25 07:55:00,2026-03-25 08:19:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,24.0,Indoor
24,2.0,,,10B,2026-03-25 07:57:00,2026-03-25 08:25:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,28.0,Outdoor
25,2.0,,,9B,2026-03-25 08:02:00,2026-03-25 08:36:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,34.0,Outdoor
26,4.0,,,2,2026-03-25 08:05:00,2026-03-25 09:21:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,76.0,Indoor
27,2.0,,,4A,2026-03-25 08:06:00,2026-03-25 08:28:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,22.0,Indoor
28,1.0,,,1B,2026-03-25 08:12:00,2026-03-25 08:48:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,36.0,Indoor
29,4.0,,,4B,2026-03-25 08:13:00,2026-03-25 08:50:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,37.0,Indoor
30,2.0,,,7A,2026-03-25 08:14:00,2026-03-25 09:46:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,92.0,Outdoor
31,1.0,,,1A,2026-03-25 08:20:00,2026-03-25 09:41:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,81.0,Indoor
32,2.0,,,16,2026-03-25 08:17:00,2026-03-25 09:30:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,73.0,No Table
33,4.0,,,6,2026-03-25 08:29:00,2026-03-25 09:46:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,77.0,Indoor
34,2.0,,,7C,2026-03-25 08:20:00,2026-03-25 10:00:00,Walk-in,2026-03-14,Saturday,True,199,False,False,False,,100.0,Outdoor
35,1.0,,,7B,2026-03-25 08:23:00,2026-03-25 08:48:00,In-house,2026-03-14,Saturday,True,199,False,False,False,,25.0,Outdoor
